model,method,features_set,split_type,graph_mode,in_channels,best_val_f1,test_f1,auprc,best_threshold,best_epoch,stop_epoch,final_lr,final_labeled,total_time_sec,mean_epoch_time_sec
AL-MLP,cmcs,local,temporal,dag,94,0.8576,0.5629,0.414,0.45,47,57,0.005000000000000001,1020,34.49,0.11
AL-MLP,random,local,temporal,dag,94,0.8454,0.5588,0.4395,0.95,13,23,0.0125,1020,25.01,0.1
AL-MLP,sequential,local,temporal,dag,94,0.8557,0.558,0.4478,0.5,18,28,0.005000000000000001,1020,26.43,0.1
AL-MLP,entropy,local,temporal,dag,94,0.8544,0.5539,0.3854,0.7,26,36,0.005000000000000001,1020,43.2,0.11
AL-EVOLVEGCN,sequential,local,temporal,dag,94,0.5701,0.3155,0.2614,0.3,28,38,0.00025,1020,1455.24,4.31
AL-GCN,sequential,local,temporal,dag,94,0.5605,0.2759,0.1935,0.5,20,30,0.0025,1020,89.87,0.26
AL-GCN,entropy,local,temporal,dag,94,0.5228,0.2569,0.2086,0.65,15,25,0.0025,1020,55.87,0.26
AL-GCN,random,local,temporal,dag,94,0.5058,0.2567,0.193,0.8,27,37,0.0025,1020,98.25,0.25
AL-EVOLVEGCN,cmcs,local,temporal,dag,94,0.4792,0.2479,0.1317,0.5,14,24,0.000125,1020,1216.38,4.36
AL-GCN,cmcs,local,temporal,dag,94,0.508,0.234,0.2142,0.45,73,83,0.002,1020,72.44,0.25
AL-EVOLVEGCN,entropy,local,temporal,dag,94,0.4684,0.2032,0.1108,0.5,20,30,0.0001,1020,1213.46,4.33
AL-EVOLVEGCN,random,local,temporal,dag,94,0.3698,0.19,0.1142,0.85,19,29,0.0001,1020,1852.4,4.26
